data_collector|person_id|height|head.height|head.circumference|arm.span|floor.navel|units|writing|eye|eye.color|swinging|age|gender|quality|minutes|ethnicity|notes|my.units|hand.length|hand.width|hand.elbow|elbow.armpit|arm.reach|foot.length|floor.kneepit|floor.hip|floor.armpit|my.ethnicity|my.gender|new.units|my.eye|my.writing|my.swinging|my.eye.color
6734f5f4f223d589dc4ff361a310c155|13e647076a48ced264cd8452175c2e15|145|18.8|55.3|141.7|86.4|cm|right|right|blue|right|87|female|7|35|white|3 initial measurements had to be re-measured|cm|17|16.3|40|30|52.5|21.8|40.9|88.9|116.5|w|f|cm|r|r|r|bl
6734f5f4f223d589dc4ff361a310c155|1088af35708a5b36f1d4e2bb37acdcb7|181|24.3|58.5|176|112.5|cm|right|right|blue|left|30|male|8|36|white|2 initial measurements had to be re-measured|cm|17.9|18.6|46.05|57|71|24.9|51.25|105|143.85|w|m|cm|r|r|l|bl
6734f5f4f223d589dc4ff361a310c155|e28999163456cff48b783a89fad8c6d9|152.6|18.3|54.7|159.6|91.3|cm|right|right|blue|left|60|female|10|40|white|NA|cm|17.2|17.55|38|21.5|57.5|22.75|41.95|90.15|118.85|w|f|cm|r|r|l|bl
6734f5f4f223d589dc4ff361a310c155|09933344d53a61bf9ad3fbe844e173c8|169.5|21|56|165|105.4|cm|right|right|brown|right|20|female|10|30|laotian|NA|cm|18.35|19.55|44.35|28|64.9|23.65|46.5|103.35|127.5|a|f|cm|r|r|r|br
6734f5f4f223d589dc4ff361a310c155|8643d013d64405966b262a0280c0b197|164.9|19.1|57.2|151.9|96|cm|left|left|green|left|47|female|8|30|white|2 initial measurements had to be re-measured|cm|17.2|17.7|42.5|23.25|66|22.3|43.6|99.5|126|w|f|cm|l|l|l|gr
6734f5f4f223d589dc4ff361a310c155|c0e88abe6a0ab110f0f201685c0bd185|153.6|22.2|64|161.1|95.8|cm|right|right|brown|left|22|female|10|30|african american|NA|cm|18.2|19.65|43.2|29.65|60|24|45.45|92.15|122.5|b|f|cm|r|r|l|br
6734f5f4f223d589dc4ff361a310c155|5b31d7eefd327c5296826021dd9a4c56|177.8|20.5|59.3|182.8|104|cm|right|left|blue|left|26|male|8|14|white|2 initial measurements had to be re-measured|cm|18.6|22|47.2|32.4|66.7|26.2|45.25|102.45|141.5|w|m|cm|l|r|l|bl
6734f5f4f223d589dc4ff361a310c155|bc679a3aec3b015b11b5c33673d58a31|168.3|22.2|58.6|165.7|102|cm|left|right|blue|left|27|female|8|10|white|2 initial measurements had to be re-measured|cm|17.2|18.9|44.1|28|64.95|23.65|44.9|95.25|132|w|f|cm|r|l|l|bl
6734f5f4f223d589dc4ff361a310c155|5ae2cd142c4d754f9cf52879c9df4fc0|170.1|22.5|57.7|168.6|101|cm|right|left|blue|left|26|male|10|22|white|NA|cm|17.15|19.15|44.5|24|65|21.75|45.85|101.4|130.15|w|m|cm|l|r|l|bl
6734f5f4f223d589dc4ff361a310c155|112c745f06b882dc111506a76e90a206|151.6|19.9|55.1|156|94|cm|right|right|blue|left|61|female|10|16|white|NA|cm|16.3|17.1|40.35|24.5|56.2|22.15|41|95.6|119.9|w|f|cm|r|r|l|bl
fd36e2b3ec59dbd996587454cbb59725|789951a2bbfbf299b0822cc8452f236f|177.165|23.495|56.515|184.15|104.775|inches|right|right|blue/green|right|38|male|9|32|white|has some native american|in|19.20875|21.74875|48.26|24.765|228.6|28.575|48.5775|104.4575|146.685|w|m|cm|r|r|r|bl-gr
fd36e2b3ec59dbd996587454cbb59725|e4a78a4c43790b174d1132cc72ff8829|113.665|16.51|49.53|109.5375|65.7225|inches|left|right|blue|left|5|female|9|15|white|Very good subject to measure|in|12.54125|13.97|28.2575|18.0975|137.795|16.1925|32.86125|65.0875|88.9|w|f|cm|r|l|l|bl
fd36e2b3ec59dbd996587454cbb59725|02fd0c9a5c0a52e64e487541c668dbb8|121.285|17.78|48.895|117.475|70.1675|inches|right|left|brown|right|7|female|8|17|white|a bit wiggly|in|13.17625|15.08125|32.0675|21.59|145.415|18.7325|31.59125|68.8975|90.17|w|f|cm|l|r|r|br
fd36e2b3ec59dbd996587454cbb59725|9f719255d46dd8b9b07935d891dc5295|181.61|23.495|59.69|182.245|108.2675|inches|right|left|hazel|right|36|male|9|20|white|NA|in|19.84375|22.86|48.895|31.75|221.9325|26.67|50.4825|108.42625|144.62125|w|m|cm|l|r|r|ha
fd36e2b3ec59dbd996587454cbb59725|06101d4bde60d0ea415206d4ba04572c|161.29|22.86|54.61|160.655|97.79|inches|left|right|green|left|36|female|9|15|white|has some native american|in|17.4625|19.52625|41.5925|29.845|202.2475|22.225|43.4975|97.155|131.1275|w|f|cm|r|l|l|gr
fd36e2b3ec59dbd996587454cbb59725|7a0dee5e063bbcbcd68e6e60eb0d8ac2|114.3|15.24|50.8|115.8875|65.0875|inches|right|right|hazel|left|6|female|10|12|white|person doing measurements was very accurate|in|12.7|13.81125|30.7975|22.5425|143.03375|18.89125|30.7975|67.78625|89.8525|w|f|cm|r|r|l|ha
fd36e2b3ec59dbd996587454cbb59725|993be15b8f3ea1fb344718d12c4073fc|155.2575|19.05|55.5625|154.6225|91.44|inches|right|left|brown|right|11|female|10|12|white|person doing measurements was very accurate|in|18.25625|18.335625|40.79875|28.495625|190.8175|23.97125|49.53|93.345|125.4125|w|f|cm|l|r|r|br
fd36e2b3ec59dbd996587454cbb59725|ac11025453a44a174b69354845b985d5|166.6875|21.9075|56.1975|167.3225|93.345|inches|right|left|brown|right|35|female|10|14|white|person doing measurements was very accurate|in|18.176875|20.955|43.418125|31.27375|190.97625|24.92375|44.29125|95.5675|138.7475|w|f|cm|l|r|r|br
fd36e2b3ec59dbd996587454cbb59725|21a0357f2ca81fcfc9e5502e6ba4c5de|157.48|22.225|55.88|157.48|93.98|inches|right|right|blue|right|52|female|7|22|white|subject had been drinking before taking measurements|in|16.35125|19.129375|42.8625|29.5275|202.565|22.5425|43.33875|93.345|128.27|w|f|cm|r|r|r|bl
fd36e2b3ec59dbd996587454cbb59725|08982a644b08fcabe920861dcf638039|179.07|23.1775|58.1025|183.1975|103.505|inches|right|right|green|right|59|male|9|15|white|NA|in|20.32|21.2725|48.73625|31.115|224.155|26.035|50.00752|106.83875|145.7325|w|m|cm|r|r|r|gr
fd36e2b3ec59dbd996587454cbb59725|7aa407c589c49ea3aa49224367f9aad8|158.115|22.225|56.8325|160.655|95.885|inches|right|left|blue|right|57|female|9|15|white|has some native american|in|17.30375|20.47875|43.18|29.5275|201.13625|23.8125|43.33875|95.72625|132.3975|w|f|cm|l|r|r|bl
c51267de031fb6d879a8abf25d260269|1c2408654ef5a2fe1fc962088312266c|178|21|59|176|98.5|cm|right|right|blue|left|47|male|10|23|white|possible ancestry may include: scottish, wea native american|cm|19.25|21.75|45.5|30.5|225.75|26.5|43.25|93.75|135|w|m|cm|r|r|l|bl
c51267de031fb6d879a8abf25d260269|9b2cfcfa9664443aaa0a5cf1333c7244|181.61|20.32|58|218.44|109|cm|right|right|brown|right|22|male|10|15|white|data collector|cm|17.78|22.86|46.228|29.5|152.5|25.4|45.66|99.03|135.95|w|m|cm|r|r|r|br
c51267de031fb6d879a8abf25d260269|c45839f19cbf1437468598076cb11a1c|175.4|19.6|56|211|105.3|cm|right|right|brown|right|23|male|8|20|white|australian ancestry|cm|17.05|22.1|44.65|28|147.3|24|44|95.65|131.25|w|m|cm|r|r|r|br
c51267de031fb6d879a8abf25d260269|5416d60fcbda9d702ccbcee046a3e7cb|161|18|51|193|96.5|cm|right|right|green|right|20|female|7|15|white|australian ancestry|cm|16|20|41|26.5|135|22.5|40.5|88|120|w|f|cm|r|r|r|gr
c51267de031fb6d879a8abf25d260269|2420e28d6dd40f144e4484b856092628|165|18.5|53|198.5|99|cm|right|right|brown|right|52|female|7|20|white|NA|cm|16|21|42|26.5|138.5|23|41.5|90|123|w|f|cm|r|r|r|br
c51267de031fb6d879a8abf25d260269|b4216eec77f3aaf926d1b6a1e1512c8e|186|21|59|224|112|cm|right|right|brown|right|61|male|8|12|white|italian ancestry|cm|18|23|47|30.5|156|26|47|101|139|w|m|cm|r|r|r|br
c51267de031fb6d879a8abf25d260269|516c55f4541512c4672db44137aae2c8|184|20.5|59|221|110|cm|right|right|brown|right|25|male|5|10|white|NA|cm|18|23|47|29.5|154.5|26|46|100|138|w|m|cm|r|r|r|br
c51267de031fb6d879a8abf25d260269|7b85f0f72fa8b6276a307492ba804025|159|18|52|195|97|cm|left|both|blue|left|23|female|5|15|hispanic|NA|cm|16|20|41|26.5|136|23|41|88.5|122|h|f|cm|b|l|l|bl
c51267de031fb6d879a8abf25d260269|2bb88f446d3a78151df3ae67ad006e10|185.5|21|59|223|111|cm|right|right|brown|left|26|male|6|10|white|NA|cm|18|23|47|30.5|156|26|47|101|139|w|m|cm|r|r|l|br
c51267de031fb6d879a8abf25d260269|5a4bb89464c07cc514e9f08ac6190e71|185|21|61|224|111|cm|right|right|brown|right|22|male|7|10|white|NA|cm|18|23|48|30.5|157|26|47|101.5|139|w|m|cm|r|r|r|br
5a2f371a934f22dffcf1e994cb6eca40|3edc9028bcaab791b8790713cf82d280|183|23|58|183|109|cm|right|left|hazel|right|21|male|10|24.5|caucasian|german, norwegian, english|cm|19.5|21.25|40.5|25.5|224.75|28|46.5|106|137|w|m|cm|l|r|r|ha
5a2f371a934f22dffcf1e994cb6eca40|04b2eeaf9dcd75f5fcaeec08f76603f2|166.5|20.5|53.5|164|99|cm|right|right|blue|right|20|female|10|10|white|german, norwegian|cm|18|19|40.5|25.5|206|23|44.25|100.75|135.25|w|f|cm|r|r|r|bl
5a2f371a934f22dffcf1e994cb6eca40|c775bb281e5479508ec125fa644ff065|157.5|23|55|160|90|cm|right|brown|left|right|23|male|10|9|chinese|NA|cm|18|18|39.5|19.5|199.5|23|39.5|82.25|121.5|a|m|cm|NA|r|r|NA
5a2f371a934f22dffcf1e994cb6eca40|5d0a00a4553a324b9f14f2eb6820ada4|171.5|22|53|65|107|cm|right|right|brown|right|21|male|5|30|asian|NA|cm|8|10|30|23|234|20|43|104|139|a|m|cm|r|r|r|br
5a2f371a934f22dffcf1e994cb6eca40|c7e8ec1734c9626546d613ca12f9dc57|178|23|59|171|101|cm|right|right|blue|right|54|male|9|9|anglo|english|cm|20|22.75|23.5|16|223|26.75|49|100.5|129.5|w|m|cm|r|r|r|bl
5a2f371a934f22dffcf1e994cb6eca40|cff864eff9ec76edf5a6606be92b33b5|168|20|56|166|99|cm|right|right|hazel|right|61|female|9|11|caucasian|german, norwegian|cm|19.5|21|41|24|208|25.25|45|102|128|w|f|cm|r|r|r|ha
5a2f371a934f22dffcf1e994cb6eca40|19e7e29d12d3eec6776a993acdfca999|170|27|56|174|99|cm|right|left|green|right|20|female|7|20|caucasian|NA|cm|17.75|20.5|45|21|211|24|42|94|130|w|f|cm|l|r|r|gr
5a2f371a934f22dffcf1e994cb6eca40|35d830aeb7087089a94bd6f4c2119268|178|24|58|180.5|104|cm|left|left|green|right|22|male|10|15.5|caucasian|norwegian|cm|18.5|21.5|44.25|29|223.5|25.75|49|100.5|137|w|m|cm|l|l|r|gr
5a2f371a934f22dffcf1e994cb6eca40|df2f92f65e0119382722048c0fe1aaa9|183|25|23|162|108|cm|right|right|green|right|23|male|8|20|caucasian|NA|cm|21|10|47|71|243|29|56|103|141|w|m|cm|r|r|r|gr
5a2f371a934f22dffcf1e994cb6eca40|5f5158f2a21600d2670ce6c262276efd|175|27|56|75|103|cm|right|left|blue|right|25|male|8|20|caucasian|NA|cm|16.5|10.75|43.5|29|120.5|25|51|92.5|139.5|w|m|cm|l|r|r|bl
5a2f371a934f22dffcf1e994cb6eca40|4fd772e96e520d598a2d08d5eea733cf|161|21|52|61.5|97|cm|right|right|blue|right|57|female|9|45|caucasian|german|cm|16|10|38|23|77.75|13.5|42|84.75|124.75|w|f|cm|r|r|r|bl
5a2f371a934f22dffcf1e994cb6eca40|a7ca986d375e45fe72aa5b043c0d207e|185|24|57|192|109|cm|right|left|blue|right|57|male|9|45|caucasian|norwegian|cm|21|11|44.5|30|237.5|28.5|53|113|144|w|m|cm|l|r|r|bl
253a0d24ddff7cbe1b9f621870d9d198|ac56ebdc4dda8269a4a2b52a1d6c7850|175.26|24.13|58.928|179.705|97.79|inches|right|left|blue|right|35|M|10|15|White Non-Hispanic|Possible ancestry may include: German, Swiss, Norwegian and English|in|19.4945|21.0185|28.7655|30.48|219.075|25.0825|45.72|93.98|132.08|w|m|cm|l|r|r|bl
253a0d24ddff7cbe1b9f621870d9d198|4303a33a7da3801b36dcde6ff75b6b16|160.02|NA|57.15|157.48|NA|inches|right|right|blue|right|32|F|10|2|White Non-Hispanic|Possible ancestry may include: Dutch and Eglish|in|17.145|19.05|NA|NA|NA|NA|NA|NA|NA|w|f|cm|r|r|r|bl
253a0d24ddff7cbe1b9f621870d9d198|eeead4ca1f5a37e4021d64295eb831e6|107.95|NA|52.07|104.14|NA|inches|right|right|blue|right|4|M|9|3|White Non-Hispanic|Possible ancestry may include: German, Swiss, Dutch, Norwegian and Eglish|in|11.7475|14.2875|NA|NA|NA|NA|NA|NA|NA|w|m|cm|r|r|r|bl
253a0d24ddff7cbe1b9f621870d9d198|dabc021b0e03bcadbd60c3795dd8dc3b|85.09|NA|49.53|80.01|NA|inches|both|NA|blue|both|1|F|6|10|White Non-Hispanic|Possible ancestry may include: German, Swiss, Dutch, Norwegian and Eglish|in|9.2075|11.43|NA|NA|NA|NA|NA|NA|NA|w|f|cm|NA|b|b|bl
253a0d24ddff7cbe1b9f621870d9d198|cf4e88b3cd3bcfeb43df3f865747af57|160.02|NA|55.88|160.02|NA|inches|right|left|hazel|right|63|F|10|3|White Non-Hispanic|Possible ancestry may include: Norwegian and Eglish|in|16.51|18.415|NA|NA|NA|NA|NA|NA|NA|w|f|cm|l|r|r|ha
253a0d24ddff7cbe1b9f621870d9d198|0b36178aaf339b27b19d5f38e97d97ae|175.26|NA|61.468|167.64|NA|inches|left|right|blue|left|68|M|10|3|White Non-Hispanic|Possible ancestry may include: German, Swiss and Eglish|in|17.78|20.955|NA|NA|NA|NA|NA|NA|NA|w|m|cm|r|l|l|bl
253a0d24ddff7cbe1b9f621870d9d198|be3732e06f96f48a9f6b4aefbc026d42|165.1|NA|58.42|166.37|NA|inches|right|left|blue|right|34|F|10|2|White Non-Hispanic|Possible ancestry may include: German, Swiss, Norwegian and English|in|17.145|20.32|NA|NA|NA|NA|NA|NA|NA|w|f|cm|l|r|r|bl
253a0d24ddff7cbe1b9f621870d9d198|10bcf9fc27bfb07ff4309230b6e1fd16|165.1|NA|57.15|161.925|NA|inches|left|left|brown|right|46|M|10|2|White Non-Hispanic|Possible ancestry may include: Greek and English|in|17.78|21.2725|NA|NA|NA|NA|NA|NA|NA|w|m|cm|l|l|r|br
253a0d24ddff7cbe1b9f621870d9d198|bfb025246aab6d98222153d7cf51fdeb|157.48|NA|54.61|162.56|NA|inches|right|right|blue|right|84|F|10|4|White Non-Hispanic|Possible ancestry may include: Norwegian|in|16.51|18.7325|NA|NA|NA|NA|NA|NA|NA|w|f|cm|r|r|r|bl
253a0d24ddff7cbe1b9f621870d9d198|1018deacd9ac4ed7b69c8d393c553459|182.88|NA|59.055|185.42|NA|inches|right|right|blue|right|88|M|10|4|White Non-Hispanic|Possible ancestry may include: English|in|19.05|21.2725|NA|NA|NA|NA|NA|NA|NA|w|m|cm|r|r|r|bl
feaa341d33cedb0f4f7ec731c84e5ba9|be2c146782bc42ee8a28929e2caae9ba|175.26|23.495|58.42|180.975|99.06|cm|right|left|blue|right|21|male|9|19|white|Of Scandinavian Descent|cm|18.875|20.175|45.745|68.58|71.755|24.4475|48.26|97.155|133.35|w|m|cm|l|r|r|bl
feaa341d33cedb0f4f7ec731c84e5ba9|852e3c313e43b1ae48f3d6bb0a6469d3|165.1|21.59|53.34|162.56|92|cm|right|right|green|right|21|female|8|12|white|Of Scandinavian Ancestry|cm|16.51|12.7|40.3225|26.9875|61.595|22.86|45.72|101.2825|124.46|w|f|cm|r|r|r|gr
feaa341d33cedb0f4f7ec731c84e5ba9|150f21419f5bb180fd931e2fa8640a70|177.8|24.765|58.42|187.96|98|cm|right|right|brown|right|21|male|8|15|white|Welsch Ancestry|cm|19.685|12.065|46.35|25.7175|73.025|27.6225|49.53|98.1075|137.795|w|m|cm|r|r|r|br
feaa341d33cedb0f4f7ec731c84e5ba9|5a0e79f26da0d6937694d62980dac541|NA|22.86|58.42|NA|NA|cm|right|right|blue|right|21|male|9|5|white|German/Scandinavian Ancestry|cm|19.304|14.605|NA|NA|NA|NA|NA|NA|NA|w|m|cm|r|r|r|bl
feaa341d33cedb0f4f7ec731c84e5ba9|4bcd32980897662118a17b3483179e82|NA|27.94|55.88|NA|NA|cm|right|right|brown|right|45|female|7|6|white|greman/swedish descent|cm|15.24|15.24|NA|NA|NA|NA|NA|NA|NA|w|f|cm|r|r|r|br
feaa341d33cedb0f4f7ec731c84e5ba9|0ab2282a9d538094dbe633278574cec9|NA|23.495|58.42|NA|NA|cm|right|left|brown|right|38|female|9|5|white|English/Irish|cm|19.05|17.145|NA|NA|NA|NA|NA|NA|NA|w|f|cm|l|r|r|br
feaa341d33cedb0f4f7ec731c84e5ba9|628888963c3e9ac15557b4f124de3a6b|NA|22.225|60.325|NA|NA|cm|right|right|brown|right|41|female|10|4|white|french/german|cm|19.05|17.78|NA|NA|NA|NA|NA|NA|NA|w|f|cm|r|r|r|br
feaa341d33cedb0f4f7ec731c84e5ba9|8c19a02ee368d50c1c2e96dca464fcbe|NA|27.94|60.96|NA|NA|cm|right|right|brown|right|45|male|8|8|white|danish/irish descent|cm|20.32|15.24|NA|NA|NA|NA|NA|NA|NA|w|m|cm|r|r|r|br
feaa341d33cedb0f4f7ec731c84e5ba9|71ee1c0873b63a167886a23c02202a18|NA|23.495|62.23|NA|NA|cm|right|right|green|right|21|male|9|3|white|german descent|cm|19.685|15.24|NA|NA|NA|NA|NA|NA|NA|w|m|cm|r|r|r|gr
feaa341d33cedb0f4f7ec731c84e5ba9|942c9d534c5e455b46f5b337ae1311d9|NA|26.416|52.07|NA|NA|cm|right|left|brown|right|21|female|8|5|hispanic|peruvian/caucasian descent|cm|16.51|13.97|NA|NA|NA|NA|NA|NA|NA|h|f|cm|l|r|r|br
4258362c2bb0d1f95b05ba2bb2e71be9|cee86ca062c513efc86eb507151fbc09|187.96|23.495|NA|196.85|NA|cm|Right|Left|Brown|Left|46|M|7|20|White|NA|cm|20.32|24.13|45.085|33.02|238.76|29.21|45.72|104.14|152.4|w|m|cm|l|r|l|br
4258362c2bb0d1f95b05ba2bb2e71be9|4733a44073c81970cccbca6e1ede188b|161.29|20.32|NA|158.75|NA|cm|Left|Right|Brown|Right|44|F|7|23|Japanese|Also white|cm|17.78|20.32|38.1|26.67|205.74|22.86|38.1|92.075|129|a|f|cm|r|l|r|br
4258362c2bb0d1f95b05ba2bb2e71be9|719fe28004fcdd81a820602924aa8074|147.32|21.59|NA|150.495|NA|cm|Left|Right|Blue|Right|17|F|6|19|Japanese|Also white|cm|16.51|19.05|37.465|22.86|186.055|22.86|34.925|90.17|118.11|a|f|cm|r|l|r|bl
4258362c2bb0d1f95b05ba2bb2e71be9|61409aa1fd47d4a5332de23cbf59a36f|142.875|21.59|NA|147.32|NA|cm|Right|Left|Brown|Left|14|M|6|20|White|NA|cm|15.875|17.145|34.29|17.145|184.15|21.59|37.465|90.17|112.395|w|m|cm|l|r|l|br
4258362c2bb0d1f95b05ba2bb2e71be9|52e10d8b23b93b7467296125130aafa7|132.715|21.59|NA|134.62|NA|cm|Right|Left|Brown|Left|12|M|6|25|White|NA|cm|13.97|15.875|31.75|22.86|170.18|20.32|35.56|79.375|106.045|w|m|cm|l|r|l|br
4258362c2bb0d1f95b05ba2bb2e71be9|3a368818b7341d48660e8dd6c5a77dbe|157.48|21.59|NA|133.35|NA|cm|Right|Left|Brown|Left|11|M|6|22|White|NA|cm|14.605|15.875|30.48|22.86|163.195|20.32|33.02|80.01|104.14|w|m|cm|l|r|l|br
4258362c2bb0d1f95b05ba2bb2e71be9|cec2224cf8ca637f45a720078b70d4d9|NA|21|NA|171|NA|cm|Left|Right|Brown|Right|27|M|7|40|White|Measurements taken during service shift|cm|18.5|21.5|40.5|NA|218|28|50|NA|135|w|m|cm|r|l|r|br
4258362c2bb0d1f95b05ba2bb2e71be9|4ed967320b733539bfd50c51a5d4748a|NA|23|NA|172|NA|cm|Left|Left|Brown|Right|41|M|7|45|Native American|Measurements taken during service shift|cm|19.5|24|49.5|NA|230|29|54|NA|143|nat|m|cm|l|l|r|br
4258362c2bb0d1f95b05ba2bb2e71be9|e6ac6d290a0f25518ae5f1632ba68bfc|147.32|22.86|NA|NA|NA|cm|Left|Right|Brown|Left|27|F|7|22|Filipino|NA|cm|13.97|15.25|35.56|20.32|177.8|21.59|38.1|78.74|111.76|pi|f|cm|r|l|l|br
4258362c2bb0d1f95b05ba2bb2e71be9|5052688170956343ecf8371c9921c6be|180.5|21.5|60|179|107.5|cm|Right|Left|Brown|Left|26|M|9|15|White|NA|cm|18.75|21.25|45|26|163.5|26.75|43.5|98.75|148.5|w|m|cm|l|r|l|br
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|180.3|25.4|55.9|167.6|141|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3|cm|18.5|NA|47.95|28.9|66.55|24.8|53.3|NA|120.65|w|m|cm|l|r|r|bl
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|163.8|22.9|57.2|147.5|123.2|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3|cm|17.8|NA|43.2|23.85|61.6|25.4|44.8|NA|106.05|w|m|cm|l|r|r|bl
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|180.3|24.1|59.7|163.5|139.7|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3|cm|19.1|NA|47|26.35|63.2|30.5|49.2|NA|118.75|w|m|cm|r|l|r|bl
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|159|22.9|54.6|142.3|123.2|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd|cm|17.1|NA|42.5|22.9|61.3|24.25|41.6|NA|104.15|w|f|cm|r|r|r|bl
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|181|25.4|60.3|165|151.1|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd|cm|19.7|NA|48.9|25.4|66.95|28.25|54.6|NA|125.75|w|m|cm|l|r|r|bl
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|190|24|58|173|143|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend|cm|21.5|NA|48|29|NA|30|50|NA|143|w|m|cm|r|r|r|bl
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|191.1|26.7|56.5|175.5|150.5|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend|cm|19.7|NA|50.5|32.7|NA|27|47.8|NA|123.85|w|m|cm|r|r|r|ha
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|180|29.5|59|171|140|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend|cm|18.75|NA|52.25|32.5|66|26|51|NA|120|pi|m|cm|r|r|r|br
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|169|24|58|158|132.5|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend|cm|18|NA|46.25|26|59.25|24.5|47.25|NA|113.25|w|m|cm|r|r|r|br
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|178|29|57|168|126.5|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend|cm|17.5|NA|44|29|64.25|25.5|44.25|NA|113.25|w|m|cm|r|r|r|gr
5a96f81207a7a619ea2574c7e86cda93|cdfdf4d1cb331c85c789c7401a88d6b3|143.5|22|56|165|103.5|cm|right|left|hazel|right|24|female|10|12|caucasian|possible ancestry may include: Italian, Irish, and Scottish|cm|17|19|38.5|26.5|208.5|23.75|45.5|100.5|126.25|w|f|cm|l|r|r|ha
